,Year,Export Quantity,Feed,Food supply,Loss,Other uses(non-food),Processed,Residuals,Tourist consumption
0,2014,21618878.0,977976.0,73643174.0,13848590.0,38448.0,4225799.0,118732.0,35142.0
1,2015,19644067.0,1352121.0,79126969.0,14222328.0,38731.0,4615984.0,33162.0,38477.0
2,2016,21154956.0,1240425.0,76063873.0,13996441.0,55404.0,3931649.0,95269.0,36873.0
3,2017,23560056.0,1232882.0,77350767.0,14502130.0,67087.0,3942764.0,-415114.0,38505.0
4,2018,24291664.0,1126126.0,78152279.0,14619163.0,69932.0,4059618.0,-323960.0,38240.0
